# SID Intervals for LFMN - Nice
# Available SIDs: BADOD, BASIP, BODRU, EPOLO, IRMAR, LANKO, LONSU, OKTET, PERUS, RUBAS, RUBIT, SODRI, TURIL, VAREK
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 04L
LFMN,22L,BADOD,EPOLO,2
LFMN,22L,BADOD,IRMAR,2
LFMN,22L,BADOD,LANKO,2
LFMN,22L,BADOD,LONSU,2
LFMN,22L,BADOD,OKTET,2
LFMN,22L,BADOD,PERUS,2
LFMN,22L,BADOD,RUBAS,2
LFMN,22L,BADOD,RUBIT,2
LFMN,22L,BADOD,SODRI,2
LFMN,22L,BADOD,TURIL,2
LFMN,22L,BADOD,VAREK,2

LFMN,22L,BASIP,BADOD,2
LFMN,22L,BASIP,BASIP,2
LFMN,22L,BASIP,BODRU,2
LFMN,22L,BASIP,EPOLO,2
LFMN,22L,BASIP,IRMAR,2
LFMN,22L,BASIP,LANKO,2
LFMN,22L,BASIP,LONSU,2
LFMN,22L,BASIP,OKTET,2
LFMN,22L,BASIP,PERUS,2
LFMN,22L,BASIP,RUBAS,2
LFMN,22L,BASIP,RUBIT,2
LFMN,22L,BASIP,SODRI,2
LFMN,22L,BASIP,TURIL,2
LFMN,22L,BASIP,VAREK,2

LFMN,22L,BODRU,BADOD,2
LFMN,22L,BODRU,BASIP,2
LFMN,22L,BODRU,BODRU,2
LFMN,22L,BODRU,EPOLO,2
LFMN,22L,BODRU,IRMAR,2
LFMN,22L,BODRU,LANKO,2
LFMN,22L,BODRU,LONSU,2
LFMN,22L,BODRU,OKTET,2
LFMN,22L,BODRU,PERUS,2
LFMN,22L,BODRU,RUBAS,2
LFMN,22L,BODRU,RUBIT,2
LFMN,22L,BODRU,SODRI,2
LFMN,22L,BODRU,TURIL,2
LFMN,22L,BODRU,VAREK,2

LFMN,22L,EPOLO,BADOD,2
LFMN,22L,EPOLO,BASIP,2
LFMN,22L,EPOLO,BODRU,2
LFMN,22L,EPOLO,EPOLO,2
LFMN,22L,EPOLO,IRMAR,2
LFMN,22L,EPOLO,LANKO,2
LFMN,22L,EPOLO,LONSU,2
LFMN,22L,EPOLO,OKTET,2
LFMN,22L,EPOLO,PERUS,2
LFMN,22L,EPOLO,RUBAS,2
LFMN,22L,EPOLO,RUBIT,2
LFMN,22L,EPOLO,SODRI,2
LFMN,22L,EPOLO,TURIL,2
LFMN,22L,EPOLO,VAREK,2

LFMN,22L,IRMAR,BADOD,2
LFMN,22L,IRMAR,BASIP,2
LFMN,22L,IRMAR,BODRU,2
LFMN,22L,IRMAR,EPOLO,2
LFMN,22L,IRMAR,IRMAR,2
LFMN,22L,IRMAR,LANKO,2
LFMN,22L,IRMAR,LONSU,2
LFMN,22L,IRMAR,OKTET,2
LFMN,22L,IRMAR,PERUS,2
LFMN,22L,IRMAR,RUBAS,2
LFMN,22L,IRMAR,RUBIT,2
LFMN,22L,IRMAR,SODRI,2
LFMN,22L,IRMAR,TURIL,2
LFMN,22L,IRMAR,VAREK,2

LFMN,22L,LANKO,BADOD,2
LFMN,22L,LANKO,BASIP,2
LFMN,22L,LANKO,BODRU,2
LFMN,22L,LANKO,EPOLO,2
LFMN,22L,LANKO,IRMAR,2
LFMN,22L,LANKO,LANKO,2
LFMN,22L,LANKO,LONSU,2
LFMN,22L,LANKO,OKTET,2
LFMN,22L,LANKO,PERUS,2
LFMN,22L,LANKO,RUBAS,2
LFMN,22L,LANKO,RUBIT,2
LFMN,22L,LANKO,SODRI,2
LFMN,22L,LANKO,TURIL,2
LFMN,22L,LANKO,VAREK,2

LFMN,22L,LONSU,BADOD,2
LFMN,22L,LONSU,BASIP,2
LFMN,22L,LONSU,BODRU,2
LFMN,22L,LONSU,EPOLO,2
LFMN,22L,LONSU,IRMAR,2
LFMN,22L,LONSU,LANKO,2
LFMN,22L,LONSU,LONSU,2
LFMN,22L,LONSU,OKTET,2
LFMN,22L,LONSU,PERUS,2
LFMN,22L,LONSU,RUBAS,2
LFMN,22L,LONSU,RUBIT,2
LFMN,22L,LONSU,SODRI,2
LFMN,22L,LONSU,TURIL,2
LFMN,22L,LONSU,VAREK,2

LFMN,22L,OKTET,BADOD,2
LFMN,22L,OKTET,BASIP,2
LFMN,22L,OKTET,BODRU,2
LFMN,22L,OKTET,EPOLO,2
LFMN,22L,OKTET,IRMAR,2
LFMN,22L,OKTET,LANKO,2
LFMN,22L,OKTET,LONSU,2
LFMN,22L,OKTET,OKTET,2
LFMN,22L,OKTET,PERUS,2
LFMN,22L,OKTET,RUBAS,2
LFMN,22L,OKTET,RUBIT,2
LFMN,22L,OKTET,SODRI,2
LFMN,22L,OKTET,TURIL,2
LFMN,22L,OKTET,VAREK,2

LFMN,22L,PERUS,BADOD,2
LFMN,22L,PERUS,BASIP,2
LFMN,22L,PERUS,BODRU,2
LFMN,22L,PERUS,EPOLO,2
LFMN,22L,PERUS,IRMAR,2
LFMN,22L,PERUS,LANKO,2
LFMN,22L,PERUS,LONSU,2
LFMN,22L,PERUS,OKTET,2
LFMN,22L,PERUS,PERUS,2
LFMN,22L,PERUS,RUBAS,2
LFMN,22L,PERUS,RUBIT,2
LFMN,22L,PERUS,SODRI,2
LFMN,22L,PERUS,TURIL,2
LFMN,22L,PERUS,VAREK,2

LFMN,22L,RUBAS,BADOD,2
LFMN,22L,RUBAS,BASIP,2
LFMN,22L,RUBAS,BODRU,2
LFMN,22L,RUBAS,EPOLO,2
LFMN,22L,RUBAS,IRMAR,2
LFMN,22L,RUBAS,LANKO,2
LFMN,22L,RUBAS,LONSU,2
LFMN,22L,RUBAS,OKTET,2
LFMN,22L,RUBAS,PERUS,2
LFMN,22L,RUBAS,RUBAS,2
LFMN,22L,RUBAS,RUBIT,2
LFMN,22L,RUBAS,SODRI,2
LFMN,22L,RUBAS,TURIL,2
LFMN,22L,RUBAS,VAREK,2

LFMN,22L,RUBIT,BADOD,2
LFMN,22L,RUBIT,BASIP,2
LFMN,22L,RUBIT,BODRU,2
LFMN,22L,RUBIT,EPOLO,2
LFMN,22L,RUBIT,IRMAR,2
