# SID Intervals for LFML - Marseille-Provence Airport
# Available SIDs: ETREK, FJR, LERGA, LUC, MADRA, MAMES, MTG, MTL, NASIK, SOSUR, TINOT, VATIR
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 13L
LFML,31R,NASIK,VATIR,3

LFML,31R,SOSUR,ETREK,3
LFML,31R,SOSUR,FJR,3
LFML,31R,SOSUR,LERGA,3
LFML,31R,SOSUR,LUC,3
LFML,31R,SOSUR,MAMES,3
LFML,31R,SOSUR,MTG,3
LFML,31R,SOSUR,MTL,3
LFML,31R,SOSUR,NASIK,3
LFML,31R,SOSUR,SOSUR,3
LFML,31R,SOSUR,TINOT,3
LFML,31R,SOSUR,VATIR,3

LFML,31R,TINOT,ETREK,3
LFML,31R,TINOT,FJR,3
LFML,31R,TINOT,LERGA,3
LFML,31R,TINOT,LUC,3
LFML,31R,TINOT,MAMES,3
LFML,31R,TINOT,MTG,3
LFML,31R,TINOT,MTL,3
LFML,31R,TINOT,NASIK,3
LFML,31R,TINOT,SOSUR,3
LFML,31R,TINOT,TINOT,3
LFML,31R,TINOT,VATIR,3

LFML,31R,VATIR,ETREK,3
LFML,31R,VATIR,FJR,3
LFML,31R,VATIR,LERGA,3
LFML,31R,VATIR,LUC,3
LFML,31R,VATIR,MAMES,3
LFML,31R,VATIR,MTG,3
LFML,31R,VATIR,MTL,3
LFML,31R,VATIR,NASIK,3
LFML,31R,VATIR,SOSUR,3
LFML,31R,VATIR,TINOT,3
LFML,31R,VATIR,VATIR,3
