# SID Intervals for LFPO - Paris-Orly
# Available SIDs: 
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 02
LFPO,06,OLZOM,MONOT,2
LFPO,06,OLZOM,NURMO,2
LFPO,06,OLZOM,OKASI,2
LFPO,06,OLZOM,OLZOM,2
LFPO,06,OLZOM,OPALE,2
LFPO,06,OLZOM,PILUL,2

LFPO,06,OPALE,AGOPA,2
LFPO,06,OPALE,ATREX,2
LFPO,06,OPALE,BUBLI,2
LFPO,06,OPALE,DIKOL,2
LFPO,06,OPALE,DORDI,2
LFPO,06,OPALE,ELCOB,2
LFPO,06,OPALE,ERIXU,2
LFPO,06,OPALE,LGL,2
LFPO,06,OPALE,MONOT,2
LFPO,06,OPALE,NURMO,2
LFPO,06,OPALE,OKASI,2
LFPO,06,OPALE,OLZOM,2
LFPO,06,OPALE,OPALE,2
LFPO,06,OPALE,PILUL,2

LFPO,06,PILUL,AGOPA,2
LFPO,06,PILUL,ATREX,2
LFPO,06,PILUL,BUBLI,2
LFPO,06,PILUL,DIKOL,2
LFPO,06,PILUL,DORDI,2
LFPO,06,PILUL,ELCOB,2
LFPO,06,PILUL,ERIXU,2
LFPO,06,PILUL,LGL,2
LFPO,06,PILUL,MONOT,2
LFPO,06,PILUL,NURMO,2
LFPO,06,PILUL,OKASI,2
LFPO,06,PILUL,OLZOM,2
LFPO,06,PILUL,OPALE,2
LFPO,06,PILUL,PILUL,2

## RWY 07
LFPO,07,AGOPA,AGOPA,2
LFPO,07,AGOPA,ATREX,2
LFPO,07,AGOPA,BUBLI,2
LFPO,07,AGOPA,DIKOL,2
LFPO,07,AGOPA,DORDI,2
LFPO,07,AGOPA,ELCOB,2
LFPO,07,AGOPA,ERIXU,2
LFPO,07,AGOPA,LGL,2
LFPO,07,AGOPA,MONOT,2
LFPO,07,AGOPA,NURMO,2
LFPO,07,AGOPA,OKASI,2
LFPO,07,AGOPA,OLZOM,2
LFPO,07,AGOPA,OPALE,2
LFPO,07,AGOPA,PILUL,2

LFPO,07,ATREX,AGOPA,2
LFPO,07,ATREX,ATREX,2
LFPO,07,ATREX,BUBLI,2
LFPO,07,ATREX,DIKOL,2
