# SID Intervals for LFPG - Paris-CDG
# Available SIDs: AGOPA, ATREX, BAXIR, BUBLI, DORDI, ELCOB, ERIXU, LANVI, LGL, MONOT, NURMO, OKASI, OLZOM, OPALE, PILUL, RANUX
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,1

## RWY 09L
LFPG,26L,LANVI,AGOPA,1
LFPG,26L,LANVI,BAXIR,1
LFPG,26L,LANVI,BUBLI,1
LFPG,26L,LANVI,DORDI,1
LFPG,26L,LANVI,ERIXU,1
LFPG,26L,LANVI,LANVI,2
LFPG,26L,LANVI,LGL,1
LFPG,26L,LANVI,MONOT,1
LFPG,26L,LANVI,OKASI,1
LFPG,26L,LANVI,OLZOM,1
LFPG,26L,LANVI,PILUL,1

LFPG,26L,LGL,AGOPA,1
LFPG,26L,LGL,BAXIR,1
LFPG,26L,LGL,BUBLI,1
LFPG,26L,LGL,DORDI,1
LFPG,26L,LGL,ERIXU,1
LFPG,26L,LGL,LANVI,1
LFPG,26L,LGL,LGL,2
LFPG,26L,LGL,MONOT,1
LFPG,26L,LGL,OKASI,1
LFPG,26L,LGL,OLZOM,1
LFPG,26L,LGL,PILUL,1

LFPG,26L,MONOT,AGOPA,1
LFPG,26L,MONOT,BAXIR,1
LFPG,26L,MONOT,BUBLI,1
LFPG,26L,MONOT,DORDI,1
LFPG,26L,MONOT,ERIXU,1
LFPG,26L,MONOT,LANVI,1
LFPG,26L,MONOT,LGL,1
LFPG,26L,MONOT,MONOT,2
LFPG,26L,MONOT,OKASI,1
LFPG,26L,MONOT,OLZOM,1
LFPG,26L,MONOT,PILUL,1

LFPG,26L,OKASI,AGOPA,1
LFPG,26L,OKASI,BAXIR,1
LFPG,26L,OKASI,BUBLI,1
LFPG,26L,OKASI,DORDI,1
LFPG,26L,OKASI,ERIXU,1
LFPG,26L,OKASI,LANVI,1
LFPG,26L,OKASI,LGL,1
LFPG,26L,OKASI,MONOT,1
LFPG,26L,OKASI,OKASI,2
LFPG,26L,OKASI,OLZOM,1
LFPG,26L,OKASI,PILUL,1

LFPG,26L,OLZOM,AGOPA,1
LFPG,26L,OLZOM,BAXIR,1
LFPG,26L,OLZOM,BUBLI,1
LFPG,26L,OLZOM,DORDI,1
LFPG,26L,OLZOM,ERIXU,1
LFPG,26L,OLZOM,LANVI,1
LFPG,26L,OLZOM,LGL,1
LFPG,26L,OLZOM,MONOT,1
LFPG,26L,OLZOM,OKASI,1
LFPG,26L,OLZOM,OLZOM,2
LFPG,26L,OLZOM,PILUL,1

LFPG,26L,PILUL,AGOPA,1
LFPG,26L,PILUL,BAXIR,1
LFPG,26L,PILUL,BUBLI,1
LFPG,26L,PILUL,DORDI,1
LFPG,26L,PILUL,ERIXU,1
LFPG,26L,PILUL,LANVI,1
LFPG,26L,PILUL,LGL,1
LFPG,26L,PILUL,MONOT,1
LFPG,26L,PILUL,OKASI,1
LFPG,26L,PILUL,OLZOM,1
LFPG,26L,PILUL,PILUL,2

## RWY 26R
LFPG,26R,AGOPA,AGOPA,2
LFPG,26R,AGOPA,BAXIR,1
LFPG,26R,AGOPA,BUBLI,1
LFPG,26R,AGOPA,DORDI,1
LFPG,26R,AGOPA,ERIXU,1
LFPG,26R,AGOPA,LANVI,1
LFPG,26R,AGOPA,LGL,1
LFPG,26R,AGOPA,MONOT,1
LFPG,26R,AGOPA,OKASI,1
LFPG,26R,AGOPA,OLZOM,1
LFPG,26R,AGOPA,PILUL,1

LFPG,26R,BAXIR,AGOPA,1
LFPG,26R,BAXIR,BAXIR,2
LFPG,26R,BAXIR,BUBLI,1
LFPG,26R,BAXIR,DORDI,1
LFPG,26R,BAXIR,ERIXU,1
LFPG,26R,BAXIR,LANVI,1
LFPG,26R,BAXIR,LGL,1
LFPG,26R,BAXIR,MONOT,1
LFPG,26R,BAXIR,OKASI,1
LFPG,26R,BAXIR,OLZOM,1
LFPG,26R,BAXIR,PILUL,1

LFPG,26R,BUBLI,AGOPA,1
LFPG,26R,BUBLI,BAXIR,1
LFPG,26R,BUBLI,BUBLI,2
LFPG,26R,BUBLI,DORDI,1
LFPG,26R,BUBLI,ERIXU,1
LFPG,26R,BUBLI,LANVI,1
LFPG,26R,BUBLI,LGL,1
LFPG,26R,BUBLI,MONOT,1
LFPG,26R,BUBLI,OKASI,1
LFPG,26R,BUBLI,OLZOM,1
LFPG,26R,BUBLI,PILUL,1

LFPG,26R,DORDI,AGOPA,1
LFPG,26R,DORDI,BAXIR,1
LFPG,26R,DORDI,BUBLI,1
LFPG,26R,DORDI,DORDI,2
LFPG,26R,DORDI,ERIXU,1
LFPG,26R,DORDI,LANVI,1
LFPG,26R,DORDI,LGL,1
LFPG,26R,DORDI,MONOT,1
LFPG,26R,DORDI,OKASI,1
LFPG,26R,DORDI,OLZOM,1
LFPG,26R,DORDI,PILUL,1

LFPG,26R,ERIXU,AGOPA,1
LFPG,26R,ERIXU,BAXIR,1
LFPG,26R,ERIXU,BUBLI,1
LFPG,26R,ERIXU,DORDI,1
LFPG,26R,ERIXU,ERIXU,2
LFPG,26R,ERIXU,LANVI,1
LFPG,26R,ERIXU,LGL,1
LFPG,26R,ERIXU,MONOT,1
LFPG,26R,ERIXU,OKASI,1
LFPG,26R,ERIXU,OLZOM,1
LFPG,26R,ERIXU,PILUL,1

LFPG,26R,LANVI,AGOPA,1
LFPG,26R,LANVI,BAXIR,1
LFPG,26R,LANVI,BUBLI,1
LFPG,26R,LANVI,DORDI,1
LFPG,26R,LANVI,ERIXU,1
LFPG,26R,LANVI,LANVI,2
LFPG,26R,LANVI,LGL,1
LFPG,26R,LANVI,MONOT,1
LFPG,26R,LANVI,OKASI,1
LFPG,26R,LANVI,OLZOM,1
LFPG,26R,LANVI,PILUL,1

LFPG,26R,LGL,AGOPA,1
LFPG,26R,LGL,BAXIR,1
LFPG,26R,LGL,BUBLI,1
LFPG,26R,LGL,DORDI,1
LFPG,26R,LGL,ERIXU,1
LFPG,26R,LGL,LANVI,1
LFPG,26R,LGL,LGL,2
LFPG,26R,LGL,MONOT,1
LFPG,26R,LGL,OKASI,1
LFPG,26R,LGL,OLZOM,1
LFPG,26R,LGL,PILUL,1

LFPG,26R,MONOT,AGOPA,1
LFPG,26R,MONOT,BAXIR,1
LFPG,26R,MONOT,BUBLI,1
LFPG,26R,MONOT,DORDI,1
LFPG,26R,MONOT,ERIXU,1
LFPG,26R,MONOT,LANVI,1
LFPG,26R,MONOT,LGL,1
LFPG,26R,MONOT,MONOT,2
LFPG,26R,MONOT,OKASI,1
LFPG,26R,MONOT,OLZOM,1
LFPG,26R,MONOT,PILUL,1

LFPG,26R,OKASI,AGOPA,1
LFPG,26R,OKASI,BAXIR,1
LFPG,26R,OKASI,BUBLI,1
LFPG,26R,OKASI,DORDI,1
LFPG,26R,OKASI,ERIXU,1
LFPG,26R,OKASI,LANVI,1
LFPG,26R,OKASI,LGL,1
LFPG,26R,OKASI,MONOT,1
LFPG,26R,OKASI,OKASI,2
LFPG,26R,OKASI,OLZOM,1
LFPG,26R,OKASI,PILUL,1

LFPG,26R,OLZOM,AGOPA,1
LFPG,26R,OLZOM,BAXIR,1
LFPG,26R,OLZOM,BUBLI,1
LFPG,26R,OLZOM,DORDI,1
LFPG,26R,OLZOM,ERIXU,1
LFPG,26R,OLZOM,LANVI,1
LFPG,26R,OLZOM,LGL,1
LFPG,26R,OLZOM,MONOT,1
LFPG,26R,OLZOM,OKASI,1
LFPG,26R,OLZOM,OLZOM,2
LFPG,26R,OLZOM,PILUL,1

LFPG,26R,PILUL,AGOPA,1
LFPG,26R,PILUL,BAXIR,1
LFPG,26R,PILUL,BUBLI,1
LFPG,26R,PILUL,DORDI,1
LFPG,26R,PILUL,ERIXU,1
LFPG,26R,PILUL,LANVI,1
LFPG,26R,PILUL,LGL,1
LFPG,26R,PILUL,MONOT,1
LFPG,26R,PILUL,OKASI,1
LFPG,26R,PILUL,OLZOM,1
LFPG,26R,PILUL,PILUL,2
